{'BETA': 0.1, 'sparsity_probability': 0.05, 'shuffle': True, 'model_save_path': './Propensity_Model/SAE_PS_model_iter_id_1_epoch_{0}_lr_{1}.pth', 'epochs': 50, 'batch_size': 32, 'weight_decay': 0.0003, 'lr': 0.0001}Iter: 1,
 MSE_Sparse: 1.929655384711055, MSE_NN: 1.8903487747409535
Iter: 83, MSE_Sparse: 1.8777552929388817, MSE_NN: 1.939028305979843
Iter: 84, MSE_Sparse: 1.8936996929195182, MSE_NN: 2.1411282445019753
Iter: 85, MSE_Sparse: 1.9971349343371578, MSE_NN: 2.0060102769832433
Iter: 86, MSE_Sparse: 1.8626534778691242, MSE_NN: 1.9123819604816568
Iter: 87, MSE_Sparse: 2.2158316660434365, MSE_NN: 1.9848404231252599
Iter: 88, MSE_Sparse: 1.9237033497580815, MSE_NN: 2.090993705153457
Iter: 89, MSE_Sparse: 1.927958460394201, MSE_NN: 1.9483244741015233
Iter: 90, MSE_Sparse: 2.011864239362192, MSE_NN: 1.988101921130617
Iter: 91, MSE_Sparse: 1.86798684100189, MSE_NN: 2.072797103024387
Iter: 92, MSE_Sparse: 2.111653877823018, MSE_NN: 1.964426584242636
Iter: 93, MSE_Sparse: 2.0127953995401073, MSE_NN: 1.9901986185959344
Iter: 94, MSE_Sparse: 1.912814600510493, MSE_NN: 1.9251963726120809
Iter: 95, MSE_Sparse: 1.9563940869099452, MSE_NN: 1.9233251930720903
Iter: 96, MSE_Sparse: 1.9671807631198832, MSE_NN: 1.8790611860666753
Iter: 97, MSE_Sparse: 2.088521638934151, MSE_NN: 2.02474175321319
Iter: 98, MSE_Sparse: 2.3153428632697994, MSE_NN: 2.2704358682930406
Iter: 99, MSE_Sparse: 2.001515364501465, MSE_NN: 1.8271385050762816
Iter: 100, MSE_Sparse: 2.017167967036503, MSE_NN: 2.149147038832062
